epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,9135.11,0.34086,0.21425,0.82112,0.97933,1,0.99212,0.92248,0.39252,0.19706,0.81446,0.0002576,0.0002576,0.0002576
90,9196.85,0.34418,0.21226,0.81905,0.97955,1,0.99288,0.92635,0.39171,0.19659,0.81262,0.0002378,0.0002378,0.0002378
91,9259.05,0.32786,0.19275,0.81202,0.97969,1,0.99327,0.91972,0.39278,0.1909,0.8132,0.000218,0.000218,0.000218
92,9320.78,0.31967,0.19223,0.80342,0.97974,1,0.99173,0.92505,0.39441,0.18615,0.81408,0.0001982,0.0001982,0.0001982
93,9383.22,0.31284,0.17967,0.81512,0.97972,1,0.98904,0.92461,0.41973,0.19689,0.81857,0.0001784,0.0001784,0.0001784
94,9445.14,0.32574,0.18557,0.80731,0.97963,1,0.99058,0.9267,0.39368,0.19173,0.81317,0.0001586,0.0001586,0.0001586
95,9507.18,0.31474,0.1861,0.80055,0.97941,1,0.99327,0.92249,0.40685,0.19354,0.81759,0.0001388,0.0001388,0.0001388
96,9569.52,0.31974,0.19116,0.81675,0.97926,1,0.99212,0.92497,0.39878,0.18981,0.81559,0.000119,0.000119,0.000119
97,9633.23,0.32007,0.18614,0.81366,0.97908,1,0.99019,0.92182,0.39636,0.18877,0.81514,9.92e-05,9.92e-05,9.92e-05
98,9695.48,0.30873,0.17957,0.79709,0.97937,1,0.98712,0.91956,0.40349,0.19012,0.81727,7.94e-05,7.94e-05,7.94e-05
99,9757.33,0.31025,0.17548,0.80685,0.97948,1,0.98788,0.91701,0.40925,0.19138,0.81943,5.96e-05,5.96e-05,5.96e-05
100,9817.54,0.30045,0.17342,0.80327,0.97949,1,0.98865,0.91804,0.41074,0.18739,0.8189,3.98e-05,3.98e-05,3.98e-05
